[INTERCEPTED] Message from Alice to Bob: {'type': 'INITIAL', 'header': {'dh': 'qlW0RomSARDFbout9mjW2xY6hdXFmiXuAbkaoO1UTHM=', 'pn': 0, 'n': 0}, 'ciphertext': 'gBp3V0RDeqJ7Peml', 'nonce': 'ibi45IZCFGPX4PXK', 'tag': 'm91YYqo2jYZpsO7CYeitEg==', 'recipient': 'Bob', 'ik_a': 'isL3acDkxEyRsDw3rsZ89m/t5gf7hEOwjWLG6sAgcyw=', 'ek_a': '2T15R3Yfe1iobUOSd0KhLV89jHsIcVXZ2+KCGPTddVQ='}
[INTERCEPTED] Message from Alice to Bob: {'type': 'RATCHET', 'header': {'dh': 'qlW0RomSARDFbout9mjW2xY6hdXFmiXuAbkaoO1UTHM=', 'pn': 0, 'n': 1}, 'ciphertext': 'S47y9X+DJQJNTfX+', 'nonce': 'ibi45IZCFGPX4PXK', 'tag': 'O4OsR38z43wg2BLtPMLeqg==', 'recipient': 'Bob'}
[INTERCEPTED] Message from Alice to Bob: {'type': 'RATCHET', 'header': {'dh': 'qlW0RomSARDFbout9mjW2xY6hdXFmiXuAbkaoO1UTHM=', 'pn': 0, 'n': 2}, 'ciphertext': 'bd3wFajdexKRnKgH', 'nonce': 'ibi45IZCFGPX4PXK', 'tag': 'Qs9yxqEwVIJWwFBlu7qPYQ==', 'recipient': 'Bob'}
[INTERCEPTED] Message from Bob to Alice: {'type': 'RATCHET', 'header': {'dh': 'DCVmryZWeXU1Kc5NY1pLC9umTxilnAIEJKKSDnfI4jE=', 'pn': 0, 'n': 0}, 'ciphertext': 'dEiDE1Zm2jYJZ3pVxkMM9NruRnb/iVj94eU=', 'nonce': 'tWlCmWRlUhFc3Kn1', 'tag': 'TIMLiO9YL78A7L53sU09/Q==', 'recipient': 'Alice'}
[INTERCEPTED] Message from Alice to Bob: {'type': 'RATCHET', 'header': {'dh': 'ZG+RkaV3c3kYi95bXXV1q24gRaVP8dCqaWmv/JDs+jU=', 'pn': 3, 'n': 0}, 'ciphertext': '9Xrh2b8yRmra6MiQKZx478oD0rBf1AYoiqq0MNIacSYHxkiIogIGAGRQvOGvAihLZg8/eIYA5SmT', 'nonce': 'oF7Z4+Y31jEOFJ0c', 'tag': 's2sER6WPe5WH6JFjRep05g==', 'recipient': 'Bob'}
[INTERCEPTED] Message from Alice to Bob: {'type': 'RATCHET', 'header': {'dh': 'ZG+RkaV3c3kYi95bXXV1q24gRaVP8dCqaWmv/JDs+jU=', 'pn': 3, 'n': 1}, 'ciphertext': 'ELvb2dgsrWpSA4VFMHeGH4hoExiJtwi0mUH4U25EeMt9wjDGaOUVNdAzbHfO3Cgp2pDvdJCi6Q==', 'nonce': 'WQyzsWsFCqsksZ5E', 'tag': 'LrwVBJaZOZmTJrbiGe3EjA==', 'recipient': 'Bob'}
[INTERCEPTED] Message from Bob to Alice: {'type': 'RATCHET', 'header': {'dh': 'hWRzmXAZ+xLNo++tWPjfbbNWOorLiytftTmY2gcDJCA=', 'pn': 1, 'n': 0}, 'ciphertext': 'Cmz+/RY++B/o2NLr', 'nonce': 'ibi45IZCFGPX4PXK', 'tag': 'G51mojw0k5dUKCOnR75oKg==', 'recipient': 'Alice'}
[INTERCEPTED] Message from Alice to Bob: {'type': 'RATCHET', 'header': {'dh': 'ijbruXG/o6rO+FSyA7QunywIItu+2egKM9V27ZMxa08=', 'pn': 2, 'n': 0}, 'ciphertext': 'NiT/8DnPVZZvccZG', 'nonce': 'ibi45IZCFGPX4PXK', 'tag': 'ZpiMCPJ87aQmRp8i8RuvSQ==', 'recipient': 'Bob'}
[INTERCEPTED] Message from Alice to Bob: {'type': 'RATCHET', 'header': {'dh': 'ijbruXG/o6rO+FSyA7QunywIItu+2egKM9V27ZMxa08=', 'pn': 2, 'n': 1}, 'ciphertext': 'wOghjMiS4Qcxfg1JCMdtGyMifwvAnuyW51pcKGoKr9qpHO7+uCaluzX32qBwug1uTOFPZ/joeA==', 'nonce': 'WQyzsWsFCqsksZ5E', 'tag': 'Wj5Cc7k4RK5aikkwHyjx4g==', 'recipient': 'Bob'}
[INTERCEPTED] Message from Alice to Bob: {'type': 'RATCHET', 'header': {'dh': 'ijbruXG/o6rO+FSyA7QunywIItu+2egKM9V27ZMxa08=', 'pn': 2, 'n': 2}, 'ciphertext': 'DGryUHhq2XPtRmk664ZoHEcZSiu+m/DYAqGnjtEp3EJt5XFAOqVKUNsPLzgiyoCYMRa1aGb+2akNMqxudNJywYrrG5q6VzI14KzalStF', 'nonce': 'oKZiZRqLy87SpNhN', 'tag': 'jkN0ZQ2zzG8cjznbhTxITA==', 'recipient': 'Bob'}
[INTERCEPTED] Message from Alice to Bob: {'type': 'RATCHET', 'header': {'dh': 'ijbruXG/o6rO+FSyA7QunywIItu+2egKM9V27ZMxa08=', 'pn': 2, 'n': 3}, 'ciphertext': 'mqmixtMiUkSkoRCj4LlEZqJc71SPsyynY+l0lgUJOLj5z4EISi4rFbztL4NK1WExWA1VZdyAPOIKl+hRfNFhfxNIy+CfkNcc4kT8m6uk', 'nonce': 'oKZiZRqLy87SpNhN', 'tag': '+yrLs7JMDDrmLUEWriPlUg==', 'recipient': 'Bob'}
[INTERCEPTED] Message from Alice to Bob: {'type': 'RATCHET', 'header': {'dh': 'ijbruXG/o6rO+FSyA7QunywIItu+2egKM9V27ZMxa08=', 'pn': 2, 'n': 4}, 'ciphertext': '1g0Bm9GgzbeHAehN+cEhoKUP8GAn4Tn6enwfIjhUOeRi/0BNhdq47OCFVcI1iUpuI11ZltHS5l9NcelM+huvul9v/8gqpxqrw6pjeJYh', 'nonce': 'oKZiZRqLy87SpNhN', 'tag': 'Gz95Vj2bwFIfMzBiKu0MnA==', 'recipient': 'Bob'}
[INTERCEPTED] Message from Bob to Alice: {'type': 'RATCHET', 'header': {'dh': 'qyETbdoQXm1/Q/fNyU+g0xYGMZrocTaDz+0XMAfG/Tk=', 'pn': 1, 'n': 0}, 'ciphertext': '+WHSZm4G', 'nonce': 'M00Bb3Vc1txYxTqG', 'tag': 'TMWwZN+3MU/LnjynD+HzoA==', 'recipient': 'Alice'}
[INTERCEPTED] Message from Alice to Bob: {'type': 'RATCHET', 'header': {'dh': 'um6L5V9yT5dc/zt8U+rPnNS+owIPj8kRcnzTSFDNL2g=', 'pn': 5, 'n': 0}, 'ciphertext': '6kM2y46xTZKGqbi8', 'nonce': 'ibi45IZCFGPX4PXK', 'tag': 'PQtNm5jkCHKOI/yvvkA8PA==', 'recipient': 'Bob'}
[INTERCEPTED] Message from Alice to Bob: {'type': 'RATCHET', 'header': {'dh': 'um6L5V9yT5dc/zt8U+rPnNS+owIPj8kRcnzTSFDNL2g=', 'pn': 5, 'n': 1}, 'ciphertext': '51rQ', 'nonce': 'ylHOH7FazG1puKVw', 'tag': 'I3jba9F6LqiDnqCQ8gysdg==', 'recipient': 'Bob'}
[INTERCEPTED] Message from Alice to Bob: {'type': 'RATCHET', 'header': {'dh': 'um6L5V9yT5dc/zt8U+rPnNS+owIPj8kRcnzTSFDNL2g=', 'pn': 5, 'n': 2}, 'ciphertext': 'MGFr3xvz5c10j73S', 'nonce': 'ibi45IZCFGPX4PXK', 'tag': 'x4CMr29o93cLuQgJYL6bHQ==', 'recipient': 'Bob'}
